partial data for cat2.dat, single appearance or disappeared
     ID     q		e     omega	 Omega     i

C/-146 P1   0.43      1.0      261       330        71
C/ 240 V1   0.37      1.0       82       214        44
C/ 390 Q1   0.92      1.0       23       356        36
C/ 400 F1   0.21      1.0       47        38        32
C/ 442 V1   1.53      1.0      178       271       106
C/ 539 W1   0.16      1.0      246        33        19
C/ 565 O1   0.83      1.0       79       180       121
C/ 568 O1   0.870     1.0       34.9     301.8       4.0
C/ 574 G1   0.73      1.0      342       155        54
C/ 770 K1   0.580     1.0       88.0     110.7     117.0
C/ 868 B1   0.42      1.0      277       321        65
C/ 905 K1   0.20      1.0       50        70       140
C/ 962 B1   0.63      1.0       85         2       119
C/1014 C1   0.56      1.0       84       174       117
C/1018 P1   0.62      1.0      197       185        35
C/1080 P1   0.681     1.0       73.6     322.9       6.9
C/1092 A1   0.77      1.0       62       114       124
C/1097 T1   0.30      1.0      298       352        41
C/1110 K1   0.83      1.0      358       321       137
C/1132 T1   0.736     1.0      114.2     213.2     106.3
C/1147 A1   0.12      1.0      300       282       110
C/1230 X1   0.860     1.0      181.0     303.7      16.0
C/1240 B1   0.668     1.0      331.4     135.1      75.3
C/1245 D1   0.50      1.0       87       180        20
C/1264 N1   0.8249    1.0      159.71    151.04     16.40
C/1293 V1   0.78      1.0      313        89        30
C/1299 B1   0.3179    1.0      103.89    116.94    111.00
C/1304 C1   0.840     1.0       25.0      88.7      65.0
C/1304 Y1   0.65      1.0       56       106        99
C/1337 M1   0.7490    1.0       79.61     97.61    143.60
C/1340 F1   1.1362    1.0       32.44    187.63    176.48
C/1345 O1   0.89      1.0      210       150        23
C/1351 W1   1.01      1.0      165       264         7
C/1362 E1   0.30      1.0      348       291       155
C/1368 E1   0.48      1.0       90       217       131
C/1376 M1   0.550     1.0       81.0     300.7      76.0
C/1385 U1   0.79      1.0      182       289       103
C/1402 D1   0.38      1.0       91       126        55
C/1433 R1   0.49277   1.0      189.392   104.255   103.979
C/1439 F1   0.12      1.0      140       192        81
C/1449 Y1   0.32742   1.0      356.691   268.809   155.679
C/1457 A1   0.70336   1.0      194.597   257.529    13.251
C/1457 L1   0.76991   1.0      183.281   187.551     7.335
C/1458 Y1   0.49      1.0      258       117        69
C/1462 M1   0.25      1.0      137       316       130
C/1468 S1   0.850     1.0       91.0     106.7     138.0
C/1471 Y1   0.48589   1.0      245.728   292.873   170.866
C/1490 Y1   0.761     1.0      164.9     280.2      73.4
C/1491 B1   0.850     1.0      316.0     165.7       9.0
C/1499 Q1   0.95      1.0       42       329        16
C/1500 H1   1.11      1.0      352       305        99
C/1506 O1   0.840     1.0      200.0     155.7     115.0
C/1532 R1   0.51922   1.0       24.529    93.807    32.592
C/1533 M1   0.25480   1.0       21.398   125.424   149.592
C/1538 A1   0.1477    1.0      287.70    356.20     42.46
C/1539 H1   0.961     1.0      174.5      55.1      18.6
C/1556 D1   0.49082   1.0      100.866   181.436    32.370
C/1557 T1   0.50      1.0       94       212        42
C/1558 P1   0.2805    1.0      119.60    341.21    110.94
C/1577 U1   0.877     1.0       27.1      36.1       9.7
C/1577 V1   0.17750   1.0      255.673    31.237   104.883
C/1580 T1   0.60237   1.0       89.367    24.948    64.612
C/1582 J1   0.16872   1.0      331.895   233.034   118.539
C/1585 T1   1.09485   1.0      331.778    43.144     6.135
C/1590 E1   0.56773   1.0      307.671   171.342   150.451
C/1593 O1   0.08911   1.0       12.072   169.921    87.914
C/1596 N1   0.56716   1.0       59.414   335.962   128.080
C/1618 Q1   0.51298   1.0       24.802   298.844    21.494
C/1618 V1   0.744     1.0      155.9     229.5       8.4
C/1618 W1   0.38954   1.0      287.436    81.001    37.196
C/1639 U1   0.816     1.0      237.4     219.7      61.7
C/1652 Y1   0.84750   1.0      300.190    93.001    79.461
C/1661 C1   0.44272   1.0       33.450    86.562    33.015
C/1664 W1   1.02553   1.0      310.675    86.053   158.697
C/1665 F1   0.10649   1.0      156.087   232.696   103.893
C/1668 E1   0.06660   1.0      109.813     3.215   144.381
C/1672 E1   0.69546   1.0      109.524   302.691    82.972
C/1677 H1   0.28059   1.0       99.162   241.316   100.928
C/1680 V1   0.006222  0.999986 350.6128  276.6339   60.6784
C/1683 O1   0.55958   1.0       87.810   177.835    96.738
C/1684 N1   0.95827   1.0      330.300   272.598    65.424
C/1686 R1   0.33602   1.0       81.913   358.443    34.969
C/1689 X1   0.06443   1.0       78.134   283.754    63.204
C/1695 U1   0.04230   1.0       59.117   286.018    93.589
C/1698 R1   0.72865   1.0      151.384    70.282   169.094
C/1699 D1   0.74862   1.0      109.524   325.886   109.424
C/1701 U1   0.5926    1.0      164.95    302.81    138.37
C/1702 H1   0.64683   1.0      309.637   193.294     4.375
C/1706 F1   0.42687   1.0       59.434    17.281    55.270
C/1707 W1   0.85904   1.0       27.161    56.916    88.646
C/1718 B1   1.02543   1.0        6.309   131.903   148.838
